model,mae,rmse,mape,direction_accuracy
ARIMA,1546.7317973022205,2044.4867873449325,1.772704208879285,96.55172413793105
SARIMA,932.4458966413926,1160.9124741997937,1.0741147976180827,89.65517241379311
Prophet,2148.2186706372177,2229.284383246182,2.509675275047711,96.55172413793105
