date,open,high,low,close,volume,adj_close,returns,log_returns,volatility
2022-12-12,17085.05,17241.89,16871.85,17209.83,226227.49694,17209.83,0.0073034612131659404,0.007276920090016073,0.011966951028946106
2022-12-13,17208.93,18000.0,17080.14,17774.7,284462.9139,17774.7,0.03282252061757718,0.032295365713004065,0.016749694365350426
2022-12-14,17775.82,18387.95,17660.94,17803.15,266681.22209,17803.15,0.0016005896020749866,0.0015993100237424041,0.01438302916469075
2022-12-15,17804.01,17854.82,17275.51,17356.34,223701.96882,17356.34,-0.025097244027040277,-0.025417550422032496,0.017270300828232745
2022-12-16,17356.96,17531.73,16527.32,16632.12,253379.04116,16632.12,-0.041726539120575,-0.042622091974556034,0.023809033774806122
2022-12-17,16631.5,16796.82,16579.85,16776.52,144825.66684,16776.52,0.008681996041394635,0.008644524244231441,0.0242717951362425
2022-12-18,16777.54,16863.26,16663.07,16738.21,112619.31646,16738.21,-0.0022835486739801736,-0.0022861599473239873,0.024272201364291417
2022-12-19,16739.0,16815.99,16256.3,16438.88,179094.28305,16438.88,-0.017883035282745152,-0.018044869047170384,0.024413518106604217
2022-12-20,16438.88,17061.27,16397.2,16895.56,248808.92324,16895.56,0.027780481395326184,0.027401604731458414,0.02310737401472909
2022-12-21,16896.15,16925.0,16723.0,16824.67,156810.96362,16824.67,-0.004195776878659463,-0.004204603849787203,0.022850669693843764
2022-12-22,16824.68,16868.52,16559.85,16821.43,176044.27235,16821.43,-0.0001925743565845961,-0.00019259290140687945,0.021617395731380384
2022-12-23,16821.9,16955.14,16731.13,16778.5,161612.00947,16778.5,-0.0025521016940890373,-0.002555363857047274,0.014046358555405357
2022-12-24,16778.52,16869.99,16776.62,16836.12,100224.29096,16836.12,0.003434156807819555,0.003428273556819251,0.01372534538324779
2022-12-25,16835.73,16857.96,16721.0,16832.11,125441.07202,16832.11,-0.00023817839264617113,-0.00023820676162420736,0.01367573687163102
2022-12-26,16832.11,16944.52,16791.0,16919.39,124564.00656,16919.39,0.005185327329728651,0.005171929813683699,0.010898501517597898
2022-12-27,16919.39,16972.83,16592.37,16706.36,173749.58616,16706.36,-0.012590879458420079,-0.01267081627317635,0.005826125592480283
2022-12-28,16706.06,16785.19,16465.33,16547.31,193037.56577,16547.31,-0.00952032639066791,-0.00956593439752758,0.0065279125720911525
2022-12-29,16547.32,16664.41,16488.91,16633.47,160998.47158,16633.47,0.00520688861210683,0.005193379640446887,0.0071181336896567506
2022-12-30,16633.47,16677.35,16333.0,16607.48,164916.31174,16607.48,-0.0015625122118235746,-0.0015637342071172207,0.007105475146792893
2022-12-31,16607.48,16644.09,16470.0,16542.4,114490.42864,16542.4,-0.003918716144773238,-0.003926414431065476,0.006801692838519868
2023-01-01,16541.77,16628.0,16499.01,16616.75,96925.41374,16616.75,0.004494511074571994,0.004484440922006132,0.0072812823609920575
2023-01-02,16617.17,16799.23,16548.7,16672.87,121888.57191,16672.87,0.003377315058600505,0.00337162473850112,0.007018910618711534
2023-01-03,16672.78,16778.4,16605.28,16675.18,159541.53733,16675.18,0.0001385484322735664,0.00013853883532594145,0.00527126412636597
2023-01-04,16675.65,16991.87,16652.66,16850.36,220362.18862,16850.36,0.01050543382440261,0.010450635209181243,0.004819471086918099
2023-01-05,16850.36,16879.82,16753.0,16831.85,163473.56641,16831.85,-0.0010984928511914571,-0.0010990966366733739,0.004841518477904315
2023-01-06,16831.85,17041.0,16679.0,16950.65,207401.28415,16950.65,0.007058047689350921,0.007033256255153627,0.004966576948399767
2023-01-07,16950.31,16981.91,16908.0,16943.57,104526.5688,16943.57,-0.00041768309769840695,-0.0004177703515806188,0.004291574977912108
2023-01-08,16943.83,17176.99,16911.0,17127.83,135155.89695,17127.83,0.010874921873017529,0.010816215147354305,0.00514614402270642
2023-01-09,17127.83,17398.8,17104.66,17178.26,266211.52723,17178.26,0.0029443309514396443,0.0029400048985379155,0.005162336742351433
2023-01-10,17179.04,17499.0,17146.34,17440.66,221382.42581,17440.66,0.015275120995956515,0.015159630933365425,0.006200987565363752
2023-01-11,17440.64,18000.0,17315.6,17943.26,262221.60653,17943.26,0.02881771676071887,0.02841029515457346,0.010541343621609044
2023-01-12,17943.26,19117.04,17892.05,18846.62,454568.32178,18846.62,0.05034536644957499,0.04911903051513352,0.017745608068438768
2023-01-13,18846.62,20000.0,18714.12,19930.01,368615.87823,19930.01,0.05748457813655716,0.055893048509553726,0.02282337475097998
2023-01-14,19930.01,21258.0,19888.05,20954.92,393913.74951,20954.92,0.0514254634092004,0.050146827684418194,0.022124816929037294
2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.22549,20871.5,-0.003980926674976515,-0.003988871656173911,0.02491610765810466
2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08262,21185.65,0.0150516254222266,0.014939473685250641,0.023173166981309563
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409,21134.81,-0.0023997375582056613,-0.0024026215431750143,0.025924832915744
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949,20677.47,-0.02163918199406567,-0.021876742420547574,0.031997366110578705
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925,21071.59,0.019060358931726196,0.018880985981668756,0.029267180432993537
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659,22667.21,0.07572375886205074,0.0729936990967774,0.03396614822431247
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,22783.55,0.0051325240292035,0.0051193975233281225,0.030984232270250777
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,22707.88,-0.003321255906125198,-0.0033267835189935463,0.030926980896650427
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,22916.45,0.009184917306239049,0.009142992475145141,0.03092628912454978
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,22632.89,-0.012373644259909389,-0.012450835212587299,0.03189745715197433
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,23060.94,0.01891274158978362,0.018736119160646474,0.028657996742132798
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581,23009.65,-0.002224107083232396,-0.0022265840828143047,0.029404254092792233
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315,23074.16,0.0028036063130034705,0.0027996835390564157,0.00998719240851903
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085,23022.6,-0.0022345342148967218,-0.002237034511835935,0.010062226222413257
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204,23742.3,0.03126058742279336,0.03078192520585222,0.014700608722666406
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121,22826.15,-0.03858724723383988,-0.0393514588233174,0.02233810839348767
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909,23125.13,0.01309813525276926,0.013013096440887308,0.022126490919702767
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271,23732.66,0.026271419879585478,0.025932253556535844,0.023143865969128728
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751,23488.94,-0.010269392474337113,-0.010322486493569127,0.023716904826379448
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904,23431.9,-0.002428376929737852,-0.002431330219096245,0.02381342262588728
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295,23326.84,-0.004483631288969336,-0.004493712909870792,0.023902081524791324
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917,22932.91,-0.016887413811729313,-0.017031632139821246,0.02085299709319932
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069,22762.52,-0.007429933663019583,-0.007457673107036351,0.014904977118098121
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482,23240.46,0.020996796488262248,0.020779401555923737,0.016320471595938857
2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.30717,22963.0,-0.011938662143520351,-0.01201050031064175,0.012280772532596863
2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.6955,21796.35,-0.05080564386186481,-0.052141700352517424,0.021487189684249307
2023-02-10,21797.83,21938.16,21451.0,21625.19,338591.94247,21625.19,-0.007852690932197315,-0.007883685677702989,0.021247197909732524
2023-02-11,21625.19,21906.32,21599.78,21862.55,177021.58433,21862.55,0.01097608853378862,0.010916288456747329,0.022807863190984524
